date,temperature,rainfall,humidity,holiday,weekend,population_density,event_level,waste_volume
2020-02-16,29.4,2.5,85.7,0,1,8122,1,82.17
2020-02-17,31.4,0.0,80.2,0,0,8118,0,68.69
2020-02-18,33.5,29.5,87.4,0,0,8214,1,71.43
2020-02-19,31.6,37.1,85.3,0,0,8077,1,67.46
2020-02-20,29.7,11.6,80.7,0,0,8040,0,58.84
2020-02-21,31.3,101.8,93.8,0,0,8466,0,65.96
2020-02-22,28.2,97.0,95.0,0,1,7680,1,69.71
2020-02-23,30.1,52.9,83.1,0,1,7538,1,67.88
2020-02-24,31.9,38.0,86.5,0,0,8106,0,59.3
2020-02-25,31.0,28.8,86.4,0,0,7947,0,58.55
2020-02-26,32.5,0.0,75.0,0,0,7864,0,61.4
2020-02-27,30.8,71.9,89.0,0,0,8271,0,61.35
2020-02-28,30.0,0.0,80.9,0,0,8161,1,68.51
2020-02-29,29.2,56.4,87.2,0,1,7634,0,65.69
2020-03-01,31.7,23.3,83.8,0,1,8066,2,86.48
2020-03-02,32.0,0.0,85.3,0,0,8077,0,71.24
2020-03-03,33.1,115.1,94.0,0,0,8215,0,57.97
2020-03-04,33.0,11.8,78.4,0,0,7585,0,62.15
2020-03-05,31.8,54.0,84.5,0,0,8070,0,61.16
2020-03-06,32.1,29.9,88.2,0,0,7772,0,58.57
2020-03-07,35.0,41.7,87.9,0,1,7989,1,80.88
2020-03-08,33.2,31.1,87.1,0,1,8217,0,76.98
2020-03-09,33.2,0.0,81.0,0,0,7602,1,68.4
2020-03-10,34.6,24.6,75.6,0,0,7891,2,79.52
2020-03-11,33.2,0.0,81.1,0,0,8020,0,59.65
2020-03-12,33.7,25.8,87.3,0,0,8326,0,63.75
2020-03-13,31.2,116.2,92.3,0,0,8291,0,65.88
2020-03-14,32.9,68.7,87.5,0,1,8090,0,72.97
2020-03-15,31.7,53.0,82.2,0,1,7835,1,76.17
2020-03-16,32.2,4.2,84.5,0,0,8133,0,69.17
2020-03-17,33.4,39.4,85.0,0,0,7849,1,63.06
2020-03-18,30.7,23.6,84.5,0,0,7847,0,63.2
2020-03-19,33.6,43.1,86.9,0,0,7710,0,63.67
2020-03-20,32.9,0.0,86.0,0,0,8250,0,65.36
2020-03-21,33.1,44.2,92.4,0,1,7765,1,85.74
2020-03-22,34.9,56.2,82.7,0,1,7744,1,75.45
2020-03-23,33.7,52.9,85.6,0,0,8255,0,57.22
2020-03-24,31.6,60.6,83.0,0,0,8108,0,61.88
2020-03-25,32.9,0.0,78.2,0,0,8143,0,64.34
2020-03-26,31.6,87.4,91.5,0,0,7876,0,61.98
2020-03-27,31.7,0.0,74.8,0,0,8322,1,75.68
2020-03-28,31.9,0.0,81.4,0,1,7777,1,77.75
2020-03-29,30.3,59.1,86.9,0,1,7972,2,87.11
2020-03-30,30.6,0.0,87.5,0,0,7965,0,66.49
2020-03-31,30.9,29.2,85.5,0,0,8243,0,62.27
2020-04-01,30.5,5.5,75.3,0,0,7659,0,61.19
2020-04-02,33.7,11.7,77.0,0,0,7857,0,65.51
2020-04-03,34.3,13.9,77.6,0,0,8078,0,65.19
2020-04-04,34.2,8.9,74.6,0,1,7904,0,73.44
2020-04-05,32.3,3.9,78.2,0,1,7550,0,70.54
2020-04-06,29.5,1.9,78.5,0,0,7951,0,60.9
2020-04-07,32.9,9.8,77.7,0,0,7956,0,58.95
2020-04-08,33.0,13.6,75.7,0,0,7757,0,63.74
2020-04-09,34.0,5.5,78.9,0,0,7544,0,56.81
2020-04-10,31.6,27.9,74.4,0,0,7776,0,58.56
2020-04-11,33.1,14.6,76.9,0,1,8156,0,70.96
2020-04-12,29.6,8.5,70.3,0,1,8020,2,82.75
2020-04-13,33.8,6.2,74.7,0,0,7797,0,64.8
2020-04-14,35.0,24.9,79.4,0,0,8089,0,63.92
2020-04-15,34.0,16.8,71.3,0,0,8017,0,64.88
2020-04-16,31.1,35.5,79.3,0,0,8270,0,61.28
2020-04-17,33.3,3.6,71.4,0,0,7990,0,63.43
2020-04-18,35.0,17.5,76.9,0,1,7959,0,76.37
2020-04-19,31.9,5.7,70.2,0,1,7975,0,74.09
2020-04-20,34.5,0.0,76.0,0,0,8076,0,68.41
2020-04-21,34.6,5.0,76.1,0,0,7960,0,67.84
2020-04-22,33.4,8.0,74.6,0,0,8049,0,64.98
2020-04-23,31.3,0.0,68.7,0,0,7628,1,62.71
2020-04-24,33.0,0.0,76.2,0,0,8312,0,65.63
2020-04-25,32.4,1.7,79.5,0,1,8367,2,93.36
2020-04-26,33.1,26.6,78.8,0,1,8636,1,83.6
2020-04-27,34.5,13.5,76.4,0,0,8056,0,63.26
2020-04-28,33.5,16.7,73.7,0,0,7712,0,63.1
2020-04-29,33.1,0.0,73.8,0,0,7883,0,70.45
2020-04-30,33.4,3.9,69.7,0,0,7608,0,60.85
2020-05-01,32.2,9.5,78.8,1,0,7778,2,94.58
2020-05-02,33.0,0.0,69.9,0,1,7833,0,69.47
2020-05-03,32.6,1.1,72.5,0,1,8096,1,87.33
2020-05-04,32.7,2.4,81.4,0,0,7955,0,66.91
2020-05-05,32.6,6.3,77.3,0,0,7876,0,66.05
2020-05-06,34.3,32.4,72.6,0,0,7936,1,73.13
2020-05-07,32.7,20.2,76.5,0,0,8083,0,62.64
2020-05-08,32.6,17.7,81.7,0,0,8062,0,64.72
2020-05-09,30.8,14.7,77.1,0,1,8177,1,88.99
2020-05-10,33.0,0.0,76.1,0,1,7270,0,69.77
2020-05-11,33.2,13.8,74.9,0,0,8449,0,62.74
2020-05-12,33.1,15.7,76.2,0,0,7993,2,79.55
2020-05-13,32.1,4.7,74.6,0,0,7979,0,63.17
2020-05-14,33.5,12.2,75.0,0,0,7717,0,65.22
2020-05-15,33.2,7.7,76.9,0,0,8126,0,67.3
2020-05-16,33.0,13.5,80.8,0,1,8359,1,80.09
2020-05-17,33.1,15.4,79.0,0,1,7988,1,83.16
2020-05-18,33.5,13.7,75.2,0,0,8151,0,67.07
2020-05-19,30.7,8.3,72.7,0,0,7796,0,63.65
2020-05-20,32.1,9.1,76.9,0,0,8082,0,67.01
2020-05-21,29.4,6.5,75.6,0,0,8209,1,76.51
2020-05-22,32.8,1.3,75.1,0,0,8197,0,67.78
2020-05-23,33.7,21.3,79.2,0,1,8020,0,73.16
2020-05-24,31.7,15.8,72.9,1,1,7959,3,125.84
2020-05-25,34.7,10.3,77.4,1,0,7969,3,115.85
2020-05-26,34.2,0.0,76.4,0,0,8289,0,70.36
2020-05-27,32.2,0.0,72.3,0,0,8045,0,65.78
2020-05-28,35.0,7.0,75.3,0,0,8087,0,67.62
2020-05-29,32.7,0.0,77.0,0,0,7945,0,65.23
2020-05-30,32.5,9.3,79.6,0,1,8316,2,93.27
2020-05-31,34.4,22.8,78.8,0,1,7781,2,92.75
2020-06-01,30.1,31.8,77.4,1,0,7770,2,95.01
2020-06-02,31.4,20.8,74.1,0,0,8090,0,71.6
2020-06-03,30.1,4.7,80.8,0,0,7980,0,68.82
2020-06-04,28.1,0.0,79.1,0,0,7967,0,64.31
2020-06-05,31.3,8.6,81.0,0,0,7536,0,65.22
2020-06-06,30.4,12.2,75.1,0,1,8204,1,88.11
2020-06-07,32.7,15.8,76.9,0,1,8000,3,107.41
2020-06-08,29.1,0.7,70.6,0,0,7803,0,67.54
2020-06-09,34.9,23.3,73.9,0,0,7618,0,62.9
2020-06-10,29.8,1.7,75.6,0,0,8073,0,73.95
2020-06-11,29.3,20.2,77.0,0,0,7725,1,74.23
2020-06-12,31.8,25.2,80.5,0,0,7949,0,71.66
2020-06-13,34.2,21.1,81.6,0,1,7788,1,85.29
2020-06-14,31.9,2.3,73.1,0,1,7824,0,78.55
2020-06-15,32.6,0.0,67.0,0,0,7724,0,69.67
2020-06-16,27.9,2.4,79.1,0,0,8082,2,81.2
2020-06-17,29.9,7.6,77.4,0,0,8113,0,70.6
2020-06-18,29.6,0.0,75.3,0,0,8065,0,69.22
2020-06-19,31.3,25.0,81.3,0,0,7800,0,62.1
2020-06-20,30.5,13.8,71.0,0,1,7966,1,87.92
2020-06-21,33.5,0.0,73.1,0,1,8155,0,81.2
2020-06-22,30.5,23.0,76.0,0,0,7990,0,66.65
2020-06-23,30.0,18.1,81.4,0,0,8290,0,72.85
2020-06-24,31.8,0.1,79.9,0,0,8073,0,74.15
2020-06-25,33.0,7.1,75.9,0,0,8050,0,68.38
2020-06-26,31.2,30.5,76.7,0,0,7921,0,66.05
2020-06-27,31.6,9.8,72.5,0,1,7807,2,91.2
2020-06-28,27.4,11.0,68.7,0,1,7801,1,81.57
2020-06-29,30.7,0.0,76.2,0,0,8113,1,75.74
2020-06-30,30.9,20.5,74.8,0,0,7888,0,66.06
2020-07-01,27.2,12.2,71.5,0,0,7975,0,69.69
2020-07-02,26.7,5.3,76.8,0,0,8372,0,72.23
2020-07-03,30.5,34.6,79.7,0,0,8088,0,65.24
2020-07-04,28.0,28.0,80.6,0,1,7978,2,96.3
2020-07-05,27.6,14.6,75.3,0,1,7899,1,88.72
2020-07-06,28.9,22.7,76.1,0,0,8075,1,71.56
2020-07-07,31.5,7.1,78.2,0,0,8081,1,81.36
2020-07-08,29.5,12.3,77.1,0,0,8295,0,72.59
2020-07-09,25.2,0.0,75.3,0,0,8250,0,69.31
2020-07-10,30.0,15.5,74.9,0,0,8092,0,71.1
2020-07-11,32.3,17.5,72.5,0,1,8237,0,82.9
2020-07-12,28.8,7.2,77.7,0,1,7998,2,97.08
2020-07-13,32.8,12.7,73.7,0,0,8446,0,74.75
2020-07-14,31.0,6.8,76.9,0,0,8280,0,71.09
2020-07-15,28.1,20.1,79.2,0,0,7946,0,60.78
2020-07-16,28.2,0.9,73.8,0,0,7409,0,64.94
2020-07-17,31.2,0.0,79.3,0,0,7971,0,68.41
2020-07-18,33.0,17.7,75.8,0,1,8102,1,92.9
2020-07-19,31.7,8.3,81.2,0,1,8071,2,99.17
2020-07-20,28.2,12.0,72.3,0,0,7728,0,65.42
2020-07-21,26.8,9.0,69.1,0,0,7962,0,70.66
2020-07-22,32.6,15.7,77.9,0,0,8113,1,78.96
2020-07-23,30.0,21.5,73.0,0,0,8066,0,68.21
2020-07-24,28.6,0.0,73.9,0,0,7779,0,66.53
2020-07-25,27.8,9.3,74.1,0,1,8265,1,95.59
2020-07-26,30.2,16.8,77.1,0,1,8014,1,85.4
2020-07-27,26.5,0.0,78.9,0,0,7937,1,73.34
2020-07-28,27.6,15.8,80.2,0,0,7966,0,64.8
2020-07-29,30.4,20.3,73.5,0,0,8402,0,72.8
2020-07-30,30.6,29.2,78.6,0,0,7979,0,65.68
2020-07-31,29.1,5.7,76.8,0,0,7687,0,65.05
2020-08-01,26.9,1.2,72.9,0,1,8154,0,72.51
2020-08-02,27.2,0.1,72.2,0,1,7873,1,78.94
2020-08-03,28.8,0.0,76.0,0,0,7997,0,60.58
2020-08-04,25.9,0.0,76.0,0,0,8238,0,58.9
2020-08-05,28.6,0.0,68.0,0,0,8189,0,66.4
2020-08-06,27.1,0.8,72.9,0,0,8076,0,58.42
2020-08-07,28.2,1.4,75.0,0,0,8227,0,67.63
2020-08-08,25.6,10.5,76.6,0,1,7956,0,76.25
2020-08-09,27.4,2.6,76.9,0,1,8583,1,85.37
2020-08-10,26.6,18.7,80.4,0,0,8038,1,73.34
2020-08-11,24.2,32.0,74.5,0,0,7834,0,59.13
2020-08-12,27.7,0.0,77.9,0,0,8002,0,67.5
2020-08-13,25.5,8.3,77.8,0,0,7702,0,59.29
2020-08-14,27.6,12.8,74.8,0,0,8255,0,59.21
2020-08-15,27.2,10.0,70.7,0,1,8150,3,96.04
2020-08-16,26.1,17.2,74.6,0,1,8045,1,85.5
2020-08-17,26.7,8.9,77.2,1,0,7955,2,96.13
2020-08-18,28.3,0.0,71.9,0,0,7892,0,61.47
2020-08-19,26.8,15.2,76.1,0,0,8175,0,65.36
2020-08-20,25.4,3.6,71.6,0,0,8082,0,65.79
2020-08-21,31.3,0.0,73.5,0,0,8028,0,64.59
2020-08-22,28.1,29.7,81.0,0,1,7967,1,85.82
2020-08-23,28.7,8.6,74.1,0,1,7894,0,70.84
2020-08-24,29.3,17.6,80.1,0,0,8020,0,66.67
2020-08-25,27.0,8.1,75.7,0,0,7957,0,64.76
2020-08-26,27.0,14.2,74.0,0,0,8022,0,61.59
2020-08-27,30.0,17.4,74.4,0,0,7885,0,62.15
2020-08-28,27.0,10.6,74.1,0,0,7887,0,64.85
2020-08-29,28.7,16.7,76.9,0,1,7765,1,78.72
2020-08-30,26.2,0.0,77.5,0,1,7816,0,71.67
2020-08-31,27.3,0.0,80.1,0,0,8224,1,66.88
2020-09-01,24.4,21.5,79.6,0,0,8019,0,62.25
2020-09-02,25.0,22.5,72.5,0,0,8060,0,61.84
2020-09-03,24.0,5.9,70.0,0,0,7935,0,61.58
2020-09-04,26.2,4.9,76.8,0,0,7939,0,63.38
2020-09-05,26.6,16.0,70.7,0,1,7605,0,67.83
2020-09-06,26.7,13.2,77.8,0,1,7948,3,91.52
2020-09-07,28.3,18.6,79.4,0,0,8312,1,72.0
2020-09-08,26.1,5.2,76.8,0,0,8116,0,62.65
2020-09-09,26.8,0.0,73.2,0,0,8002,0,68.66
2020-09-10,24.2,2.7,71.9,0,0,7923,0,63.96
2020-09-11,25.5,15.3,78.0,0,0,7862,0,59.25
2020-09-12,28.0,16.4,73.4,0,1,8283,2,98.16
2020-09-13,26.7,4.1,76.1,0,1,8174,1,80.16
2020-09-14,24.7,9.0,81.3,0,0,8285,0,64.76
2020-09-15,27.6,22.1,71.2,0,0,8053,0,64.11
2020-09-16,26.8,10.0,73.6,0,0,7773,0,56.5
2020-09-17,26.1,8.7,74.5,0,0,7785,1,66.69
2020-09-18,28.1,17.8,73.3,0,0,8006,0,62.14
2020-09-19,25.8,15.6,78.2,0,1,7417,1,74.26
2020-09-20,25.5,5.1,72.2,0,1,8205,1,82.6
2020-09-21,26.4,0.0,77.6,0,0,8146,0,63.96
2020-09-22,25.9,0.0,79.8,0,0,7993,1,68.72
2020-09-23,25.5,4.9,71.8,0,0,7564,0,61.81
2020-09-24,24.0,0.0,81.0,0,0,8011,0,63.08
2020-09-25,24.0,0.0,77.7,0,0,7759,0,60.47
2020-09-26,25.6,7.3,75.0,0,1,7853,0,71.26
2020-09-27,26.3,4.0,74.5,0,1,8021,1,85.75
2020-09-28,27.6,13.7,77.8,0,0,8034,0,64.11
2020-09-29,26.5,4.5,76.0,0,0,7847,0,60.56
2020-09-30,24.4,13.0,79.2,0,0,8018,0,57.74
2020-10-01,26.5,25.5,76.2,0,0,7867,0,56.67
2020-10-02,26.4,17.3,78.6,0,0,7747,1,65.86
2020-10-03,27.0,9.5,75.9,0,1,7868,2,85.4
2020-10-04,26.0,3.6,71.4,0,1,7706,2,81.73
2020-10-05,26.3,1.7,77.1,0,0,7921,0,63.23
2020-10-06,27.1,0.0,75.9,0,0,8185,0,63.22
2020-10-07,28.9,0.0,77.0,0,0,8100,1,68.45
2020-10-08,24.3,23.6,85.9,0,0,8073,0,62.52
2020-10-09,25.3,0.0,70.7,0,0,8344,0,68.92
2020-10-10,26.6,14.2,76.3,0,1,8106,0,70.23
2020-10-11,24.0,1.4,71.3,0,1,7993,1,79.43
2020-10-12,24.6,2.0,75.7,0,0,8204,1,65.07
2020-10-13,25.9,9.4,76.5,0,0,8126,1,66.06
2020-10-14,27.2,15.9,74.2,0,0,7638,2,70.79
2020-10-15,26.4,7.6,74.9,0,0,7898,0,65.02
2020-10-16,24.4,7.3,77.2,0,0,8182,0,61.81
2020-10-17,26.7,7.6,76.4,0,1,8155,1,78.73
2020-10-18,24.8,10.3,82.7,0,1,7895,2,85.23
2020-10-19,26.1,37.0,76.3,0,0,7930,0,60.59
2020-10-20,27.3,9.8,75.0,0,0,8541,0,65.44
2020-10-21,24.9,12.1,75.1,0,0,8025,0,67.72
2020-10-22,27.1,5.8,77.4,0,0,8067,0,63.08
2020-10-23,27.0,0.0,78.9,0,0,8127,1,70.95
2020-10-24,27.9,0.0,71.8,0,1,7940,2,85.55
2020-10-25,26.1,16.7,75.5,0,1,8424,0,77.52
2020-10-26,24.5,0.4,73.6,0,0,8402,0,68.77
2020-10-27,27.1,3.9,75.9,0,0,7629,0,64.31
2020-10-28,26.0,2.7,74.7,0,0,8018,0,61.11
2020-10-29,27.6,10.1,77.8,0,0,7913,0,65.47
2020-10-30,27.5,12.8,76.3,0,0,8002,0,64.76
2020-10-31,25.0,0.0,75.3,0,1,7841,1,80.6
2020-11-01,26.7,57.6,89.2,0,1,7784,1,71.97
2020-11-02,25.1,10.7,80.4,0,0,7939,1,67.81
2020-11-03,25.3,21.1,82.2,0,0,7684,0,60.54
2020-11-04,26.4,71.3,91.2,0,0,7524,0,57.21
2020-11-05,24.7,69.8,90.6,0,0,7525,0,58.06
2020-11-06,26.7,48.3,88.7,0,0,7957,0,61.36
2020-11-07,25.8,61.1,90.8,0,1,8025,1,73.81
2020-11-08,29.3,52.0,87.2,0,1,8221,1,69.69
2020-11-09,27.0,79.1,85.2,0,0,8089,0,55.61
2020-11-10,28.3,46.7,94.4,0,0,7850,0,59.59
2020-11-11,26.0,0.0,80.7,0,0,8074,0,60.67
2020-11-12,29.4,40.2,88.5,0,0,8056,0,64.51
2020-11-13,26.6,40.6,87.3,0,0,8447,0,61.2
2020-11-14,27.1,77.8,82.6,0,1,8103,2,80.55
2020-11-15,26.7,27.6,85.5,0,1,7993,1,75.95
2020-11-16,30.6,81.0,94.5,0,0,7962,0,62.44
2020-11-17,26.2,54.6,85.4,0,0,8300,0,59.25
2020-11-18,27.4,57.0,84.1,0,0,7563,0,56.7
2020-11-19,27.0,114.6,90.5,0,0,7930,0,58.7
2020-11-20,30.3,78.3,87.2,0,0,8158,0,63.13
2020-11-21,26.1,21.6,76.8,0,1,8101,1,80.83
2020-11-22,26.3,0.0,80.4,0,1,8137,2,88.29
2020-11-23,27.5,22.5,86.4,0,0,7668,0,54.9
2020-11-24,25.1,6.9,80.8,0,0,8118,0,62.94
2020-11-25,27.9,19.5,79.0,0,0,8058,0,63.91
2020-11-26,24.0,60.7,83.0,0,0,7712,0,56.44
2020-11-27,28.5,33.0,78.3,0,0,7628,0,57.16
2020-11-28,28.8,51.6,93.5,0,1,7885,0,70.29
2020-11-29,24.2,70.1,88.3,0,1,7808,1,71.58
2020-11-30,25.0,37.7,86.0,0,0,8114,0,59.28
2020-12-01,28.9,49.9,85.6,0,0,8154,0,66.87
2020-12-02,26.9,3.3,81.1,0,0,8018,0,73.67
2020-12-03,26.8,0.0,78.1,0,0,7969,0,69.74
2020-12-04,26.7,50.1,89.0,0,0,8003,1,72.67
2020-12-05,27.1,19.8,84.1,0,1,7594,1,78.58
2020-12-06,27.3,111.1,93.0,0,1,7980,1,78.02
2020-12-07,29.0,88.8,90.9,0,0,8163,0,63.65
2020-12-08,28.9,72.5,88.9,0,0,7561,0,61.02
2020-12-09,29.6,75.0,91.0,0,0,8244,0,65.81
2020-12-10,30.0,35.8,83.8,0,0,8341,0,68.72
2020-12-11,29.0,36.9,90.0,0,0,8111,0,66.81
2020-12-12,27.4,117.4,93.1,0,1,7640,0,67.65
2020-12-13,27.6,11.1,86.6,0,1,8108,2,95.09
2020-12-14,27.5,27.7,86.6,0,0,8126,1,77.46
2020-12-15,28.4,24.6,83.0,0,0,7938,0,62.14
2020-12-16,25.1,45.3,85.2,0,0,7583,0,63.03
2020-12-17,27.2,39.1,90.4,0,0,8072,1,77.61
2020-12-18,29.7,74.8,90.1,0,0,8088,0,64.59
2020-12-19,28.5,120.0,94.5,0,1,7985,1,79.03
2020-12-20,26.3,53.1,90.2,0,1,7983,2,90.32
2020-12-21,29.2,43.3,88.2,0,0,7833,2,75.58
2020-12-22,28.5,34.8,89.2,0,0,8057,0,67.11
2020-12-23,29.3,19.0,84.5,0,0,8236,0,68.13
2020-12-24,26.3,0.0,77.0,0,0,8165,0,64.21
2020-12-25,27.2,4.5,85.2,1,0,7846,1,91.56
2020-12-26,26.7,77.1,89.2,0,1,8271,1,78.71
2020-12-27,27.7,34.3,85.4,0,1,8228,1,86.4
2020-12-28,29.6,42.1,84.5,0,0,8118,0,71.09
2020-12-29,26.3,10.3,88.0,0,0,7897,0,72.12
2020-12-30,31.3,16.9,87.5,0,0,7835,0,68.57
2020-12-31,26.9,36.2,87.0,0,0,7798,0,67.13
2021-01-01,29.0,11.3,81.9,1,0,8346,1,100.47
2021-01-02,30.5,98.0,91.1,0,1,8473,1,85.24
2021-01-03,26.8,40.9,89.1,0,1,8262,0,72.52
2021-01-04,26.9,0.0,78.2,0,0,8194,1,81.85
2021-01-05,29.0,96.5,92.1,0,0,8479,1,71.6
2021-01-06,30.8,41.7,86.8,0,0,8365,0,74.46
2021-01-07,25.2,40.5,88.2,0,0,8385,0,70.24
2021-01-08,29.3,39.2,89.0,0,0,8183,0,65.83
2021-01-09,31.4,0.0,80.9,0,1,8219,2,100.18
2021-01-10,27.6,100.1,90.8,0,1,8211,2,97.88
2021-01-11,31.6,0.0,76.7,0,0,8604,0,79.73
2021-01-12,31.1,41.4,87.3,0,0,8321,0,68.84
2021-01-13,29.7,85.6,91.6,0,0,8550,0,66.8
2021-01-14,28.5,28.8,83.3,0,0,8261,0,69.15
2021-01-15,32.1,83.7,92.1,0,0,8351,0,67.53
2021-01-16,28.9,120.0,95.0,0,1,8198,0,79.13
2021-01-17,30.3,71.5,89.2,0,1,8389,2,96.13
2021-01-18,31.7,17.7,87.1,0,0,8535,0,69.51
2021-01-19,29.1,43.9,89.3,0,0,8575,0,73.04
2021-01-20,28.2,0.0,82.8,0,0,8125,0,69.25
2021-01-21,29.0,23.8,82.8,0,0,8108,0,67.86
2021-01-22,30.6,67.7,90.8,0,0,8194,0,66.87
2021-01-23,29.3,65.5,95.0,0,1,8217,1,87.45
2021-01-24,28.0,61.6,88.9,0,1,8639,1,90.57
2021-01-25,31.1,34.1,82.3,0,0,8286,0,67.92
2021-01-26,30.7,101.2,95.0,0,0,8449,0,68.13
2021-01-27,31.9,23.3,81.7,0,0,8106,0,67.51
2021-01-28,28.3,120.0,95.0,0,0,8706,1,71.35
2021-01-29,30.4,0.0,76.3,0,0,8423,1,80.05
2021-01-30,27.5,31.2,86.0,0,1,8579,2,105.48
2021-01-31,29.5,45.3,85.3,0,1,8334,0,74.82
2021-02-01,31.1,0.0,84.9,0,0,8416,0,67.8
2021-02-02,32.5,46.4,85.0,0,0,8318,0,65.36
2021-02-03,33.0,47.5,85.3,0,0,8778,1,77.1
2021-02-04,27.9,82.8,95.0,0,0,8196,0,58.16
2021-02-05,30.2,23.4,82.3,0,0,8580,0,62.99
2021-02-06,31.7,0.0,84.6,0,1,8636,1,83.47
2021-02-07,27.1,0.0,79.7,0,1,8729,1,91.94
2021-02-08,30.8,70.0,90.3,0,0,8545,1,67.63
2021-02-09,29.5,48.7,79.3,0,0,7974,0,60.64
2021-02-10,32.0,85.1,86.7,0,0,8395,0,68.58
2021-02-11,30.1,69.3,86.9,0,0,8806,0,63.8
2021-02-12,32.8,17.4,84.1,0,0,8464,0,69.77
2021-02-13,29.2,1.7,89.1,0,1,8382,1,88.32
2021-02-14,31.6,45.1,87.1,0,1,8717,1,90.0
2021-02-15,32.2,120.0,92.5,0,0,8247,0,58.87
2021-02-16,34.7,90.5,93.1,0,0,8793,1,71.74
2021-02-17,30.9,49.3,86.1,0,0,8548,0,67.59
2021-02-18,30.7,48.3,85.1,0,0,8274,0,69.58
2021-02-19,31.8,70.0,88.5,0,0,8403,1,67.45
2021-02-20,29.2,13.5,85.1,0,1,8154,0,73.43
2021-02-21,32.0,16.2,83.4,0,1,8652,0,81.94
2021-02-22,30.5,50.9,88.7,0,0,8578,0,65.73
2021-02-23,32.7,12.7,81.9,0,0,8172,0,68.25
2021-02-24,30.5,48.3,87.4,0,0,8894,0,67.03
2021-02-25,30.8,44.3,92.7,0,0,8231,0,62.92
2021-02-26,31.6,38.7,83.3,0,0,8398,0,66.41
2021-02-27,29.4,40.7,86.8,0,1,8296,2,93.26
2021-02-28,29.5,39.2,89.6,0,1,8267,0,73.07
2021-03-01,35.0,0.0,88.0,0,0,8518,0,69.96
2021-03-02,31.7,56.1,87.7,0,0,8552,0,61.7
2021-03-03,30.6,46.8,91.5,0,0,8556,0,71.73
2021-03-04,33.7,0.0,78.3,0,0,8467,0,69.57
2021-03-05,33.6,63.4,88.2,0,0,8483,1,73.89
2021-03-06,33.1,55.0,85.6,0,1,8295,1,79.56
2021-03-07,34.1,44.5,95.0,0,1,8354,1,84.2
2021-03-08,33.1,104.3,93.1,0,0,8454,0,60.18
2021-03-09,33.2,10.6,91.1,0,0,8347,0,62.15
2021-03-10,31.5,45.9,88.6,0,0,8271,1,74.87
